Image Name,Deposit,OpenJoint,Washing,Spalling,Deformation,AttachedDeposit,Nothing
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (22).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (23).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (24).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (25).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (26).jpg,1,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (27).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (28).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (29).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (3).jpg,0,1,0,1,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (12).jpg,1,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (30).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (31).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (32).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (33).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (34).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (35).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (36).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (37).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (38).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (39).jpg,0,1,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (13).jpg,1,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (4).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (40).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (41).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (42).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (43).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (44).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (45).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (46).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (47).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (48).jpg,0,1,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (14).jpg,1,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (49).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (5).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (50).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (51).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (52).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (53).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (54).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (55).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (56).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (57).jpg,0,1,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (15).jpg,1,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (58).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (59).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (6).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (60).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (61).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (62).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (63).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (64).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (65).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (66).jpg,0,1,0,1,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (16).jpg,1,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (67).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (68).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (69).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (7).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (70).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (71).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (72).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (73).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (74).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (75).jpg,0,0,0,0,0,0,1
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (17).jpg,1,0,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (8).jpg,0,0,0,0,0,0,1
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (9).jpg,0,0,0,0,0,0,1
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (1).jpg,0,0,0,0,0,0,1
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (10).jpg,0,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (11).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (12).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (13).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (14).jpg,0,0,0,0,0,0,1
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (15).jpg,0,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (16).jpg,0,0,0,1,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (18).jpg,1,0,0,0,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (17).jpg,0,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (18).jpg,0,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (19).jpg,0,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (2).jpg,0,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (20).jpg,0,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (21).jpg,0,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (22).jpg,0,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (23).jpg,1,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (24).jpg,1,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (25).jpg,0,0,0,1,0,0,0
10_Joints_L1.P27.M285-L1.P27.M286_2018.01.08_D 068 (15).jpg,0,1,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (19).jpg,1,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (26).jpg,1,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (27).jpg,1,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (28).jpg,1,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (29).jpg,1,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (3).jpg,0,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (30).jpg,0,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (31).jpg,0,1,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (32).jpg,0,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (33).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (34).jpg,1,1,1,1,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (2).jpg,1,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (35).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (36).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (37).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (38).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (39).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (4).jpg,0,0,0,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (40).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (41).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (42).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (43).jpg,0,0,0,1,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (3).jpg,1,1,0,0,1,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (5).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (6).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (7).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (8).jpg,1,1,1,1,0,0,0
18_Spalling_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0162 (9).jpg,0,0,0,1,0,0,0
1_Deposit-L1.P27.M286_L1.P27.287_20180108 01 (36).jpg,1,1,0,0,0,0,0
1_Deposit-L1.P27.M286_L1.P27.287_20180108 01 (37).jpg,1,1,0,0,0,0,0
1_Deposit-L1.P27.M286_L1.P27.287_20180108 01 (38).jpg,1,1,0,0,0,0,0
1_Deposit-L1.P27.M286_L1.P27.287_20180108 01 (39).jpg,1,1,0,0,0,0,0
1_Deposit-L1.P27.M286_L1.P27.287_20180108 01 (40).jpg,1,1,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (4).jpg,1,1,0,0,1,0,0
1_Deposit-L1.P27.M286_L1.P27.287_20180108 01 (41).jpg,1,1,0,0,0,0,0
1_Deposit-L1.P27.M286_L1.P27.287_20180108 01 (42).jpg,1,1,0,0,0,0,0
1_Deposit-L1.P27.M286_L1.P27.287_20180108 01 (43).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (1).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (10).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (100).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (101).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (102).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (103).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (104).jpg,1,1,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (5).jpg,1,1,0,0,1,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (105).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (106).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (107).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (108).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (109).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (11).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (110).jpg,1,0,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (111).jpg,1,0,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (112).jpg,1,0,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (113).jpg,1,0,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (6).jpg,1,1,0,0,1,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (114).jpg,1,0,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (115).jpg,1,0,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (116).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (117).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (118).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (119).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (12).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (120).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (121).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (122).jpg,0,1,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (7).jpg,1,1,0,0,1,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (123).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (124).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (125).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (126).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (127).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (128).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (129).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (13).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (130).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (131).jpg,1,1,1,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (8).jpg,1,1,0,0,1,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (132).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (133).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (134).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (135).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (136).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (137).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (138).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (139).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (14).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (140).jpg,1,1,1,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (9).jpg,1,1,0,0,1,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (141).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (142).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (143).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (144).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (145).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (146).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (147).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (148).jpg,1,1,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (149).jpg,1,0,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (15).jpg,1,0,1,0,0,0,0
13_Joints_L1.P27.M290-L1.P27.M291_2018.01.21_D 127 (1).jpg,1,1,0,0,1,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (150).jpg,1,0,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (151).jpg,1,0,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (152).jpg,1,0,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (153).jpg,1,0,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (154).jpg,1,0,1,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (155).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (156).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (157).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (158).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (159).jpg,0,1,0,0,0,0,0
10_Joints_L1.P27.M285-L1.P27.M286_2018.01.08_D 068 (16).jpg,0,1,0,0,0,0,0
13_Joints_L1.P27.M290-L1.P27.M291_2018.01.21_D 127 (10).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (16).jpg,1,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (160).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (161).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (162).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (163).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (164).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (165).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (166).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (167).jpg,0,1,0,0,0,0,0
2_Joints_L1.27.M291-L1.P27.M292_2018.06.20_D 0084 (168).jpg,0,1,0,0,0,0,0
13_Joints_L1.P27.M290-L1.P27.M291_2018.01.21_D 127 (100).jpg,1,0,0,0,0,0,0
